,Features,Med,DBS
0,maxArea,0.0059510214525636965,0.12390728677357499
1,totalArea,0.005210531404667043,0.5031496033723684
2,ellipse_similarity_ratio,0.0019864704847734537,0.9127982248366115
3,power46,1.8919695533657416e-09,0.9912644500237233
4,bspecEn12h8,0.00033248400472786916,0.4233631832325643
5,bspecEn22h8,0.0002507621399458986,0.4064361594031902
6,totalBic2h8,0.9837558657507655,0.012408630904034141
7,bicEn12h8,0.020678336356677943,0.1381265031296658
8,bicEn22h8,0.04396894137058762,0.05256380005107691
