,Features,HAT/LAT,Med,DBS
0,maxArea,0.041873035840320406,0.024547025666549836,0.5496974909579326
1,totalArea,0.013447396417516012,0.003083170445888017,0.9506684662681667
2,ellipse_similarity_ratio,0.06782283895035734,0.30740948674816493,0.3273658351959313
3,power46,0.31942229186221327,0.0010755119049600727,0.9260315944101568
4,bspecEn12h8,0.007381386101347012,0.04225136632956884,0.8446988486564181
5,bspecEn22h8,0.007877890288300736,0.053862899879507355,0.9917740945477351
6,totalBic2h8,0.27899178696138727,0.1011586290821741,0.29773983977541074
7,bicEn12h8,0.0030421624400146447,0.14039944873478255,0.5706867047301827
8,bicEn22h8,0.1398754552528247,0.2699614194997886,0.5160029354435863
