Feature,rof,r15of,r30of,r45of,r60of,total
BicEnt1,100.0,100.0,100.0,100.0,100.0,100.0
BicEnt2,100.0,100.0,100.0,100.0,100.0,100.0
TotalBic,7.142857142857142,100.0,91.66666666666666,92.5,8.333333333333332,8.333333333333332
BspecEnt1,100.0,100.0,100.0,100.0,100.0,100.0
BspecEnt2,100.0,100.0,100.0,100.0,100.0,100.0
MaxArea,92.85714285714286,0.0,91.66666666666666,0.0,91.66666666666666,70.91666666666666
TotalArea,0.0,0.0,0.0,8.333333333333332,0.0,12.416666666666666
Power46,100.0,96.0,8.333333333333332,100.0,100.0,91.66666666666666
ESR,100.0,100.0,25.0,100.0,100.0,100.0
Belongs46,100.0,4.0,83.33333333333334,0.0,0.0,16.666666666666664
NoPeaks,0.0,100.0,100.0,99.16666666666667,100.0,100.0
